date,ticker,Open,High,Low,Close,Volume,Middle_Band,Std_Dev,Upper_Band,Lower_Band,Avg_Volume,long_signal,short_signal,long_entry,short_entry,entry_price,exit_price,position,PnL
2024/3/26,ABT,110.4899979,111.9000015,109.9300003,111.5,7770600,116.6595009,4.082307559,124.824116,108.4948858,6394680,FALSE,FALSE,FALSE,FALSE,,110.4899979,0,-1.950004578
2024/4/25,ABT,106.6500015,107.4599991,106.1399994,106.8600006,3112300,109.500499,2.436502068,114.3735031,104.6274948,5482540,FALSE,FALSE,FALSE,FALSE,,106.6500015,0,0.150001526
2024/7/23,ABT,104.0100021,104.3300018,103.3700027,103.9199982,5894500,103.3494999,1.291911665,105.9333232,100.7656766,6549290,FALSE,FALSE,FALSE,FALSE,,104.0100021,0,3.400001526
2020/3/9,ACGL,37.59999847,38.41999817,36.11999893,36.65000153,1662000,44.53000031,3.332707124,51.19541455,37.86458606,1470330,FALSE,FALSE,FALSE,FALSE,,37.59999847,0,-2.900001526
2020/3/20,ACGL,27,27.61000061,25.54999924,25.96999931,4155200,36.87850027,6.682621365,50.243743,23.51325754,2379175,FALSE,FALSE,FALSE,FALSE,,27,0,-5.380001068
2020/5/29,ACGL,28.54999924,28.84000015,27.89999962,28.21999931,8330500,25.46050005,2.453919493,30.36833904,20.55266106,3027045,FALSE,FALSE,FALSE,FALSE,,28.54999924,0,-2.009998322
2020/9/23,ACGL,29.07999992,29.36000061,27.90999985,27.93000031,2045500,30.86650019,1.227900709,33.3223016,28.41069877,1575705,FALSE,FALSE,FALSE,FALSE,,29.07999992,0,-1.409999847
2021/1/14,ACGL,35.68999863,35.77999878,35.04000092,35.22000122,2005200,35.45600052,0.676433081,36.80886668,34.10313436,2167990,FALSE,FALSE,FALSE,FALSE,,35.68999863,0,1.150001526
2021/2/1,ACGL,31.5,32.15000153,31.28000069,32.02000046,6979000,34.34700022,1.705736664,37.75847354,30.93552689,3130480,FALSE,FALSE,FALSE,FALSE,,31.5,0,-1.490001678
2021/6/25,ACGL,38.84000015,39.43000031,38.72000122,39.29999924,4114000,39.05449963,0.730410778,40.51532118,37.59367807,2010745,FALSE,FALSE,FALSE,FALSE,,38.84000015,0,0.86000061
2022/1/19,ACGL,46.65999985,46.81000137,45.90000153,45.91999817,1205900,45.05100002,1.250574291,47.5521486,42.54985144,1266115,FALSE,FALSE,FALSE,FALSE,,46.65999985,0,-0.520000458
2022/3/15,ACGL,46.58000183,47.15000153,46.58000183,46.81000137,2103300,46.33000069,1.023050215,48.37610112,44.28390026,1997960,FALSE,FALSE,FALSE,FALSE,,46.58000183,0,1.940002441
2022/9/30,ACGL,45.72999954,46.47999954,45.47999954,45.54000092,2344300,45.54899998,1.607626628,48.76425323,42.33374672,1560710,FALSE,FALSE,FALSE,FALSE,,45.72999954,0,3.909999847
2022/11/4,ACGL,56.81999969,57.18999863,55.59999847,56.86000061,3714100,50.63900013,4.169075072,58.97715027,42.30084998,7885460,FALSE,FALSE,FALSE,FALSE,,56.81999969,0,-1.619998932
2022/12/8,ACGL,60.43000031,61.20000076,60.41999817,60.56000137,2142900,58.39449978,1.514983075,61.42446593,55.36453363,1966925,FALSE,FALSE,FALSE,FALSE,,60.43000031,0,0.029998779
2023/2/23,ACGL,67.98000336,68.91000366,67.75,68.37999725,2478500,65.01249962,2.208307496,69.42911461,60.59588463,2078305,FALSE,FALSE,FALSE,FALSE,,67.98000336,0,-1.730003357
2023/7/25,ACGL,80.88999939,81.61000061,80.63999939,81.36000061,2116500,76.79399948,3.606136932,84.00627334,69.58172562,2270365,FALSE,FALSE,FALSE,FALSE,,80.88999939,0,-0.489997864
2023/11/9,ACGL,84.15000153,85.22000122,83.95999908,84.66999817,2357600,84.57300034,1.998026073,88.56905248,80.57694819,2279785,FALSE,FALSE,FALSE,FALSE,,84.15000153,0,5.529998779
2023/12/22,ACGL,74.22000122,74.55000305,73.5,73.83999634,1303400,78.95249939,4.145249133,87.24299765,70.66200112,2055225,FALSE,FALSE,FALSE,FALSE,,74.22000122,0,-0.11000061
2024/10/10,ACGL,115.7200012,116.4100037,113.1200027,113.9000015,1352200,112.7744999,1.603934168,115.9823682,109.5666316,1564505,FALSE,FALSE,FALSE,FALSE,,115.7200012,0,7.020004272
2020/3/4,ACN,185.8000031,189.7100067,184.3000031,188.8600006,3875400,203.9834999,12.2594121,228.5023241,179.4646757,2464350,FALSE,FALSE,FALSE,FALSE,,185.8000031,0,-12.86999512
